"Wave","Variable Name","Label","Question Text","Cross-Wave Equivalents"
"2020 Core","RD190","ALTWAVE FLAG FOR D159 AND D178 SEQUENCES","Cognition-Section_D. Interview Information. Altwave flag for d159 and d178 sequences","View Xref"
"2020 Core","RD290","ALTWAVE FLAG FOR NUMBER SERIES","Cognition-Section_D. Interview Information. Altwave flag for number series","View Xref"
"2020 Core","RD101","RATE MEMORY","Part of this study is concerned with people's memory, and ability to think about things.  First, how would you rate your memory at the present time? Would you say it is excellent, very good, good, fair or poor?  SELF-ADMINISTERED TEXT: Part of this stud","View Xref"
"2020 Core","RD102","RATE MEMORY PAST","Compared to [[Previous Month], [Year]/two years ago], would you say your memory is better now, about the same, or worse now than it was then?","View Xref"
"2020 Core","RD103","WORDS PREAMBLE","I'll read a set of 10 words and ask you to recall as many as you can. We have purposely made the list long so that it will be difficult for anyone to recall all the words -- most people recall just a few. Please listen carefully as I read the set of words","View Xref"
"2020 Core","RD104","D104 WORD LIST ASSIGNMENT","IWER: SELECT continue after the last word","View Xref"
"2020 Core","RD182M1","WORD RECALL IMMEDIATE - 1","Cognition-Section_D. Self Cognition. Word recall immediate - 1","View Xref"
"2020 Core","RD108M1","D108M IWER CHECKPOINT -1","IWER:  Please indicate whether any of the following problems occurred in relation to word recall  IWER:  CHOOSE all that apply","View Xref"
"2020 Core","RD174","NUMBER GOOD - IMMEDIATE","Cognition-Section_D. Self Cognition. Number good - immediate","View Xref"
"2020 Core","RD175","NUMBER WRONG - IMMEDIATE","Cognition-Section_D. Self Cognition. Number wrong - immediate","View Xref"
"2020 Core","RD176","NUMBER FORGOTTEN - IMMEDIATE","Cognition-Section_D. Self Cognition. Number forgotten - immediate","View Xref"
"2020 Core","RD177","NONE REMEMBERED - IMMEDIATE - FLAG","Cognition-Section_D. Self Cognition. None remembered - immediate - flag","View Xref"
"2020 Core","RD110","FEELING DEPRESSED W/IN PREV WK","Now think about the past week and the feelings you have experienced. Please tell [me/us] if each of the following was true for you much of the time during the past week.  Much of the time during the past week, you felt depressed.  Would you say yes or n","View Xref"
"2020 Core","RD122","INTRO-END 1ST TRY CNT BACKWARDS","IWER: PRESS [Enter] to continue as soon as R has counted 10 numbers, or stops, or asks to start over  IWER: Correct responses include counting down from 19 to 10 or from 20 to 11.","View Xref"
